Link,Date,Name,Opponent,F1_Win,F1_Draw,Result_clean,EndRound
http://www.ufcstats.com/fighter-details/24b033b3daf1c9df,2010-05-29,Luiz Cane,Cyrille Diabate,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/24b033b3daf1c9df,2009-11-21,Luiz Cane,Rogerio Nogueira,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/2525a853486ee670,2015-08-08,Sirwan Kakai,Frankie Saenz,FALSE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/2525a853486ee670,2015-06-27,Sirwan Kakai,Danny Martinez,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2526be54e6a0e62a,2022-02-05,Denys Bondar,Malcolm Gordon,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/253076a23d03dcd0,2022-05-14,Allan Nascimento,Jake Hadley,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/253076a23d03dcd0,2021-10-30,Allan Nascimento,Tagir Ulanbekov,FALSE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/253de74457bd6374,2004-10-22,Tony Fryklund,Ivan Salaverry,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/253de74457bd6374,2002-06-22,Tony Fryklund,Rodrigo Ruas,TRUE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/253de74457bd6374,1997-07-27,Tony Fryklund,Donnie Chappell,TRUE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/253de74457bd6374,1997-07-27,Tony Fryklund,Kevin Jackson,FALSE,FALSE,Submission,1
http://www.ufcstats.com/fighter-details/25433871e4eee0f4,2008-01-23,Alberto Crane,Kurt Pellegrino,FALSE,FALSE,Knockout,2
http://www.ufcstats.com/fighter-details/25433871e4eee0f4,2007-08-25,Alberto Crane,Roger Huerta,FALSE,FALSE,Knockout,3
http://www.ufcstats.com/fighter-details/2549d63da9c456cb,2006-05-27,Rick Davis,Melvin Guillard,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/2558ae2e5671e318,2022-05-07,Khaos Williams,Randy Brown,FALSE,FALSE,Split Decision,3
http://www.ufcstats.com/fighter-details/2558ae2e5671e318,2021-11-13,Khaos Williams,Miguel Baeza,TRUE,FALSE,Knockout,3
http://www.ufcstats.com/fighter-details/2558ae2e5671e318,2021-06-19,Khaos Williams,Matthew Semelsberger,TRUE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2558ae2e5671e318,2020-12-19,Khaos Williams,Michel Pereira,FALSE,FALSE,Unanimous Decision,3
http://www.ufcstats.com/fighter-details/2558ae2e5671e318,2020-11-14,Khaos Williams,Abdul Razak Alhassan,TRUE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/257b0c8d6f199895,2021-09-18,Impa Kasanganay,Carlston Harris,FALSE,FALSE,Knockout,1
http://www.ufcstats.com/fighter-details/257b0c8d6f199895,2021-04-10,Impa Kasanganay,Sasha Palatnikov,TRUE,FALSE,Submission,2
http://www.ufcstats.com/fighter-details/257b0c8d6f199895,2020-10-10,Impa Kasanganay,Joaquin Buckley,FALSE,FALSE,Knockout,2
